,name,team,ERA,prediction_ERA
0,구창모,NC,0.31,1.2485836804959625
1,김재웅,키움,0.78,1.383694953551742
2,문성현,키움,1.3,1.4088564934604129
3,이용찬,NC,1.61,1.7844194851335555
4,김광현,SSG,1.54,1.7848562878067389
5,구승민,롯데,1.65,2.0116149183891276
6,김민수,KT,2.1,2.0535686263422224
7,진해수,LG,1.8,2.0602908253393255
8,폰트,SSG,1.94,2.1678187247886624
9,고우석,LG,1.93,2.2858623841213
10,정해영,KIA,2.79,2.334815067083294
11,이승호,키움,2.3,2.3827026073335325
12,전상현,KIA,2.25,2.398240249659611
13,오승환,삼성,2.57,2.4901057425625246
14,안우진,키움,2.34,2.5658764347066803
15,서진용,SSG,2.78,2.580356263038498
16,수아레즈,삼성,2.34,2.6157894699019764
17,김명신,두산,2.41,2.6482872090015817
18,정우영,LG,2.37,2.6623678956189845
19,뷰캐넌,삼성,2.42,2.679379049885141
20,김재윤,KT,3.23,2.6808716058354918
21,이태양,SSG,2.7,2.794187841624248
22,요키시,키움,2.43,2.8380075757160745
23,루친스키,NC,2.46,2.9088829590036482
24,소형준,KT,2.69,2.9129332296213755
25,장시환,한화,3.09,2.93128276252261
26,최준용,롯데,3.53,2.9591314633117203
27,김종수,한화,2.93,2.981662447954644
28,주권,KT,3.29,3.023445326038347
29,켈리,LG,2.71,3.0706369398812945
30,고영표,KT,2.82,3.146815169441838
31,이정용,LG,3.09,3.163129411053967
32,양현종,KIA,2.83,3.17739974663782
33,반즈,롯데,2.85,3.2827387798079877
34,플럿코,LG,3.02,3.3138657798330766
35,최동환,LG,3.66,3.4791242929634616
36,파슨스,NC,3.56,3.5000709583071767
37,스탁,두산,3.08,3.508538739588568
38,원태인,삼성,3.58,3.6272389014811814
39,박세웅,롯데,3.54,3.6367162875904184
40,최원준,두산,2.97,3.661002551528075
41,원종현,NC,3.45,3.697317838193745
42,신정락,한화,3.52,3.718955312066217
43,윤중현,KIA,3.5,3.7581923348019917
44,김시훈,NC,3.78,3.7881724513806367
45,고효준,SSG,4.21,3.791872176068759
46,정철원,두산,4.15,3.8038744180639603
47,놀린,KIA,3.53,3.830084569400121
48,장지훈,SSG,3.77,3.845041406530367
49,오원석,SSG,3.95,3.8672031416397328
50,하영민,키움,2.33,3.8758495939047584
51,최원태,키움,3.48,3.87643738165812
52,나균안,롯데,4.15,4.021868484200043
53,김진성,LG,4.06,4.055589734097759
54,애플러,키움,4.06,4.062805542246086
55,배제성,KT,3.81,4.070485356182769
56,엄상백,KT,3.74,4.142812833535911
57,김범수,한화,4.02,4.147032730742577
58,김유영,롯데,4.15,4.1518474424822465
59,임기영,KIA,4.08,4.1549393743262755
60,최민준,SSG,3.6,4.162864802310796
61,이인복,롯데,4.01,4.210555252642167
62,홍건희,두산,3.86,4.308256703095631
63,김윤식,LG,3.99,4.313196231787395
64,이의리,KIA,3.91,4.326657716604079
65,곽빈,두산,3.82,4.381655958731064
66,신민혁,NC,4.18,4.38360594178807
67,장민재,한화,4.28,4.413862976360116
68,장현식,KIA,4.37,4.673061759175205
69,김영규,NC,4.73,4.686707681317221
70,김택형,SSG,5.19,4.691506444037086
71,한현희,키움,4.83,4.841785237211375
72,김진욱,롯데,4.93,4.842069438925937
73,데스파이네,KT,4.48,5.047476882518256
74,송명기,NC,4.78,5.055215420124466
75,이민호,LG,4.69,5.069385362965332
76,스파크맨,롯데,4.84,5.102140363292713
77,정찬헌,키움,5.05,5.12172670471658
78,이영하,두산,4.22,5.144074766885436
79,박신지,두산,5.19,5.240248825746541
80,이재학,NC,5.12,5.243241638284828
81,이민우,한화,5.22,5.253725396272922
82,김민우,한화,5.18,5.3875962429279065
83,한승혁,KIA,5.02,5.498537708380979
84,최승용,두산,5.95,5.748752582598304
85,임준형,LG,6.21,5.950655989396959
86,황동재,삼성,5.48,6.041906111339505
87,임찬규,LG,5.98,6.153319415097189
88,로니,KIA,5.49,6.234628404142527
89,윤대경,한화,6.75,6.43553830396399
90,노바,SSG,6.5,6.62422778999871
91,백정현,삼성,6.31,6.891960376342545
92,주현상,한화,8.13,6.983825306777451
93,박윤철,한화,4.85,7.124554472096473
94,남지민,한화,6.58,7.369564860692296
